Reaction?	All
	
Row Labels	Sum of Strength
1	
Radiance	4
2	
Dune	4
3	
Panda-gger	3
4	
Sand wraith	3
5	
Krukk Sunscorcher	2
6	
Bruna Sandtinkerer	2
7	
Fire Spirit	2
8	
Desert Elemental	2
9	
Siren	4
10	
Skelter	2
11	
Druid	4
12	
Sylvanus	5
13	
Pummelpotamus	3
14	
Nyxthorn	2
15	
Zulgar the Wise	2
16	
Gnarlroot	2
17	
Necro	4
18	
Fairy	1
19	
Roggy	4
20	
Triton	1
21	
Scavenge	4
22	
Terrafirma	3
23	
Pebbles	3
24	
Zirax	2
25	
Torgath	3
26	
Grimmalkin	3
27	
Tomb Dweller	3
28	
Treasure Guardian	4
29	
Cave Elemental	4
30	
Nebula	3
31	
Granite	5
32	
Rexxie	3
33	
Volcandor	6
34	
Korath, the Mountain King	5
35	
Gorzak Warbringer	5
36	
King Krag	4
37	
Wraps	3
38	
Sky	6
39	
Earth Elemental	4
40	
Relic	3
41	
Quiver	3
42	
Quagmire Montrosity	4
43	
Muckwing	3
44	
Imp	1
45	
Grimlok	3
46	
Mud	2
47	
Mordecai	2
48	
Forgotten	4
49	
Swamp Elemental	3
50	
Lilith	5
51	
Iviq	3
52	
Mittens	4
53	
Yeti	4
54	
Okami	5
55	
Crystallos	4
56	
Abaddon	6
57	
Grommash Frostreaper	5
58	
Frostbite	4
59	
Ice Elemental	4
60	
Svala	4
61	
Meridian	4
62	
Leviathan	6
63	
Typhoon	3
64	
Krakenos	5
65	
Krakenkrog	5
66	
Kelpfolk	1
67	
Discarded Pirate	1
68	
Aquilos	3
69	
Water Elemental	4
70	
Aquaria	4
71	
Tatsuo	1
72	
Adorable Giant	5
73	
Obsidian	4
74	
Kraven	4
75	
Mugglug The Stubborn	2
76	
Shade Walker	3
77	
Zombie Horde	2
78	
Baylie	5
79	
Shaydie	3
80	
Lunavira	4
81	
Grasstalker	2
82	
Storm Colossus	5
83	
Bladewing	4
84	
Vortexus	5
85	
Brakka the Ferocious	4
86	
Aero	5
87	
Specter	2
88	
Ophanim	3
89	
Air Elemental	3
90	
Zephyr	4
Grand Total	311
